Certificate,Name,Year,Rating,RatingReason,Studio
24915,Willie Nelson's 4th Of July Picnic,1977,R,,Alliance Distribution
24917,Toga Party,1977,R,,Funky Films
24918,Black And White In Color,1977,PG,,Allied Artists
24920,Semi-Tough,1977,R,,United Artists
24921,Shock Waves,1977,PG,,Joseph Brenner Associates
24923,"Little Night Music, A",1977,PG,,New World Pictures
24924,Sunset Cove,1978,R,,Cal-Am Productions
24925,Star Wars Episode IV A New Hope,2004,PG,Rated PG for sci-fi violence and brief mild language.,Twentieth Century Fox Film Corp.
24926,One On One,1977,PG,,Warner Bros. Inc.
24927,People Of The Wind,1977,G,,Carolyn Films
24928,Double Nickels,1977,PG,,Smokey Productions
24929,Youngblood,1977,R,,American International Pictures
24930,Pretty Baby,1978,R,,Paramount Pictures Corp.
24931,Record City,1977,PG,,American Int'l Pictures
24932,Jabberwocky,1977,PG,,Cinema 5
24933,Schizo,1977,R,,Niles International
24934,Three Fifty Seven Magnum,1977,R,,I.R.M.I. Films
24935,"Hills Have Eyes, The",1977,R,,Vanguard Releasing
24936,Bobby Deerfield,1977,PG,,Columbia Pictures Industries
24937,Mulefeathers,1977,PG,,NOT SET
24938,Game Show Models,1977,R,,Independent-International
24939,"Reunion, The",1977,PG,,"Sierra Productions, Ltd.  - [Production Co.]"
24940,"Kentucky Fried Movie, The",1977,R,,"KFM Films, Inc."
24941,Kincaid,1977,R,,Entertainment International Pictures
24942,Space Is The Place,1977,R,,North American Star System  - [Production Co.]
24943,Can I Do It 'til I Need Glasses,1977,R,,National American Entertainment Corporation
24944,"Legend Of Frank Woods, The",1978,PG,,Variety International Pictures
24945,Twilight Of Love,1977,R,,Twentieth Century Fox Film Corp.
24946,Moonshine County Express,1977,PG,,New World Pictures
24947,Le Sauvage,1977,PG,,"Atlas Films, Inc."
24948,"Mad Butcher, The",1977,R,,Boxoffice International
24949,Sextette,1977,PG,,"Sextette, Inc. - [Production Co.]"
24950,Grand Theft Auto,1977,PG,,New World Pictures
24951,Hughes & Harlow: Angels In Hell,1977,R,,Pro International
24952,One Man Against The Organization,1977,R,,Rampart Releasing
24953,I Never Promised You A Rose Garden,1977,R,,New World Pictures
24954,Pardon Mon Affaire,1977,PG,,First Artists Productions
24955,Land Of No Return,1977,G,,International Picture Show Company
24956,Love & The Midnight Auto Supply,1977,PG,,NOT SET
24957,Man On The Roof,1977,R,,Cinema 5
24958,Living Nightmare,1977,R,,Group I International
24959,Run For The Roses,1978,PG,,Kodiak Films
24960,"New York, New York",1977,PG,,United Artists
24961,Rabid,1977,R,,New World Pictures
24962,Black Fist,1977,R,,Kaye/Larrabure  - [Production Co.]
24963,"September 30, 1955",1977,PG,,"Universal City Studios, Inc."
24964,Greased Lightning,1977,PG,,Warner Bros. Inc.
24965,Cherry Hill High,1977,R,,Cannon-Happy Distribution
24966,Three Way Love,1977,R,,Cannon Releasing Corp.
24968,Whiskey Mountain,1977,PG,,Celestial Films
24969,"Pack, The",1978,R,,Warner Bros. Inc.
24970,You Light Up My Life,1977,PG,,Columbia Pictures Industries
24971,"Only Way To Spy, The",1977,R,,NOT SET
24972,Stockcar!,1977,PG,,NOT SET
24973,Cheering Section,1977,R,,Twenty First Century Dist.
24974,Swedish Wife Exchange Club,1977,R,,International Film Distributor
24975,Playground In The Sky,1977,G,,Tenstar Corporation
24976,"World's Greatest Lover, The",1977,PG,,Twentieth Century Fox Film Corp.
24977,"Unmarried Woman, An",1977,R,,Twentieth Century Fox Film Corp.
24978,Big Time,1977,PG,,Motown
24979,Cria,1977,PG,,Jason Allen Productions
24980,Elmer,1977,G,,Cine-Media International
24981,"Happy Hooker Goes To Washington, The",1977,R,,Cannon Releasing Corp.
24982,Wide Open Marriage,1977,R,,Cambist Films
24983,Skateboard,1977,PG,,"Universal City Studios, Inc."
24984,Bare Knuckles,1977,R,,Intercontinental Releasing
24985,Condominium,1977,R,,Intercontinental Releasing
24986,Lucifer's Curse,1977,R,,United Producers
24987,20th  Century Oz,1977,R,,American First Run Studios
24988,Five Days From Home,1977,PG,,"Universal City Studios, Inc."
24989,"Piece Of The Action, A",1977,PG,,Warner Bros. Inc.
24990,Kingdom Of The Spiders,1977,PG,,Dimension Pictures
24991,Prime Time,1977,R,,Warner Bros. Inc.
24992,"Beach Bunnies, The",1977,R,,S.C.A. Distributors
24993,Heroes,1977,PG,,"Universal City Studios, Inc."
24994,Bottoms Up,1977,R,,Burbank International
24995,"Grateful Dead, The",1977,PG,,Monarch Entertainment & Noteworthy Enterprises
24996,Mister Scarface,1977,R,,Pro International
24997,"Night Of The Sea Gulls, The",1977,R,,Better Global Films
24998,Suspiria,1977,R,,Twentieth Century Fox Film Corp.
24999,"Swiss Conspiracy, The",1977,PG,,S.J. International
25000,Capricorn One,1977,PG,,Warner Bros. Inc.
25001,Speedtrap,1977,PG,,First Artists Releasing
25002,"Manitou, The",1978,PG,,Avco Embassy Pictures
25003,Allegro Non Troppo,1977,PG,,Specialty Films
25004,Outrageous,1977,R,,Cinema 5 Ltd.
25005,Pippi On The Run,1977,G,,G.G. Communications
25006,Polk County Pot Plane,1977,PG,,Mewsmith Corp.
25007,Convoy,1978,PG,,United Artists
25008,"Deer Hunter, The",1978,R,,"Universal City Studios, Inc."
25009,"Driver, The",1983,PG,,Twentieth Century Fox Film Corp.
25010,Fingers,1977,R,,Brut Productions
25011,Attack Of The Killer Tomatoes,1977,PG,,"Gravitas Ventures, LLC"
25012,"Incredible Melting Man, The",1977,R,,American International Pictures
25013,Hooch,1977,PG,,Omni Pictures
25014,Gulliver's Travels,1977,G,,"Jensen Farley Pictures, Inc."
25015,Bloody Fist,1977,R,,Peppercorn-Wormster
25016,"Gauntlet, The",1977,R,,Warner Bros. Inc.
25017,"Chicken Chronicles, The",1977,PG,,Avco Embassy Pictures
25018,Secrets Of The Bermuda Triangle,1977,G,,Warner Bros. Inc.
25019,"Toolbox Murders, The",1977,R,,Cal Am Productions - [Production Co.] & Didio Corporation - [Production Co.]
25020,Cinderella,1977,R,,Group I
25021,"Fruit Is Ripe, The",1977,R,,Espana Films
25022,"Evil, The",1978,R,,New World Pictures
25023,Dynasty,1977,R,,"Jad Films International, Inc."
25024,"Night Creature, The",1977,PG,,Twenty First Century Dist.
25025,Pete's Dragon,1977,G,,Buena Vista Dist. Co. & Walt Disney Productions
25026,"Medusa Touch, The",1978,PG,,Warner Bros. Inc.
25027,Hitch Hike To Hell,1977,R,,Boxoffice International
25028,Turning Point,1977,PG,,Twentieth Century Fox Film Corp.
25029,End Of The World,1977,PG,,Irwin Yablans Company
25031,Candleshoe,1977,G,,"Buena Vista Distribution Co., Inc. & Walt Disney Productions"
25032,High Anxiety,1977,PG,,Twentieth Century Fox Film
25034,Ding Dong,1977,R,,Key Films
25035,Jailbait Babysitter,1977,R,,Empire Releasing
25036,Mirrors,1977,PG,,First American Films
25037,New Country,1977,R,,Crimson Releasing
25038,Nurse Sherri,1977,R,,Independent-International
25040,Sandakan 8,1977,R,,Peppercorn-Wormser
25041,Death Rage,1977,R,,S.J. International
25042,Saturday Night Fever,1979,PG,,Paramount Pictures Corp.
25043,French Quarter,1977,R,,"Crown International Pictures, Inc."
25044,"Mouse & His Child, A",1977,G,,Sanrio Films
25045,Short Eyes,1977,R,,Castle Hill Productions
25046,Master Of The Flying Guillotine,1977,R,,Seymour Borde And Associates
25047,"Erotic Adventures Of Robinson Crusoe, The",1977,R,,Inter Planetary Pictures
25049,Rabbit Test,1977,PG,,Avco Embassy Pictures
25050,Choirboys,1977,R,,"Universal City Studios, Inc."
25051,Keep My Grave Open,1977,R,,Flora Releasing
25052,Grayeagle,1977,PG,,American International Pictures
25053,Rooster,1977,PG,,Warbick Productions  - [Production Co.]
25054,Arms Of The Sea,1977,G,,United Artists Corp.
25055,Three Warriors,1977,G,,United Artists
25056,Skateboard Paradise,1977,PG,,Gailen Enterprises
25057,"Tempter, The",1977,R,,Avco Embassy Pictures
25058,"Good And The Bad, The",1977,R,,Paramount Pictures Corp.
25059,Mosquito,1977,R,,Chris Anders Films
25060,Starhops,1977,R,,First American Films
25061,Mean Dog Blues,1977,R,,American International Pictures
25062,Close Encounters Of The Third Kind,1977,PG,,Columbia Pictures Industries
25063,Hollywood Knight,1977,PG,,First American Films
25064,Hi-Riders,1977,R,,Twenty First Century Dist.
25065,"Serpent's Egg, The",1977,R,,Paramount Pictures Corp.
25066,Zoltan Hound Of Dracula,1977,R,,Republic Pictures Corp.
25067,"Magic Pony, The",1977,G,,Acton Entertainment
25068,Super Flirts,1977,R,,"Motion Picture Marketing, Inc."
25069,"Young Cycle Girls, The",1977,R,,Peter Perry Pictures
25070,Force Ten From Navarone,1978,PG,,American International Pictures
25071,Good Guys Wear Black,1978,PG,,R.C. Riddell & Associates
25072,Jokes My Folks Never Told Me,1977,R,,New World Pictures
25073,"Cheap Detective, The",1978,PG,,Columbia Pictures Industries
25074,Coma,1978,PG,,United Artists
25075,Corvette Summer,1978,PG,,United Artists
25076,Starship Invasion,1977,PG,,Warner Bros. Inc.
